tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent_true,resolved_true
10000293,AppleSupport,False,Tue Mar 19 07:09:00 +0000 2024,"Sorry for the wait, . Order prep times can extend during high-demand periods. DM us your order number and we'll check the latest carrier update for you.",,10000292,order_shipping,True
10000312,cust_156,True,Wed Mar 20 12:58:00 +0000 2024,"shoutout to apple support for actually solving my problem over dm today, didn't expect that",10000313,,praise_or_feedback,True
10000369,cust_188,True,Sun Mar 24 12:32:00 +0000 2024,is the apple store open on thanksgiving this year,10000370,,other,True
10000123,AppleSupport,False,Fri Mar 08 15:39:00 +0000 2024,"That's stressful, friend — power it off immediately and don't charge it. Water damage isn't covered under standard warranty, but let's check your options — DM us your serial number.",,10000122,hardware_damage,True
10000358,AppleSupport,False,Sat Mar 23 16:52:00 +0000 2024,"Great question, there — satellite features are expanding to more regions over time. Check support.apple.com/satellite for the current country list.",,10000357,other,True
10000363,cust_184,True,Sun Mar 24 00:01:00 +0000 2024,does the new Apple Watch Series 9 support satellite messaging outside the US,10000364,,other,True
10000315,AppleSupport,False,Wed Mar 20 16:35:00 +0000 2024,"This made our day, friend! We'll be sure to pass this along to the team. Thanks for taking the time to share it.",,10000314,praise_or_feedback,True
10000246,cust_123,True,Sat Mar 16 09:13:00 +0000 2024,"Safari keeps crashing every time i open it since updating to the new ios, so annoying",10000247,,software_bug,True
10000060,cust_30,True,Mon Mar 04 18:35:00 +0000 2024,"my iPad Air battery drops from 100 to 40 in like an hour, this started after the last update",10000061,,battery_power,True
10000386,cust_197,True,Mon Mar 25 15:57:00 +0000 2024,random tweet not really about support just tagging you guys lol,,,other,False
10000037,AppleSupport,False,Sun Mar 03 06:57:00 +0000 2024,"So sorry for the trouble, there. Let's get this sorted — please try iforgot.apple.com from a browser (not the app) and let us know what error you see. DM us your case ID if you have one.",,10000036,account_access,True
10000233,AppleSupport,False,Fri Mar 15 14:23:00 +0000 2024,"Sorry about that, friend — try restarting your iPhone 13 and checking for a smaller update under Settings > General > Software Update. Let us know if the lag continues.",,10000232,software_bug,True
10000249,AppleSupport,False,Sat Mar 16 13:06:00 +0000 2024,"That needs quick attention, there. Try a force restart first (volume up, volume down, then hold side button). If it's still stuck, DM us — we may need to walk through a recovery mode restore.",,10000248,software_bug,True
10000106,cust_53,True,Thu Mar 07 15:06:00 +0000 2024,"phone fell in the pool for like 10 seconds, is it toast",10000107,,hardware_damage,True
10000112,cust_56,True,Fri Mar 08 00:00:00 +0000 2024,"phone fell in the pool for like 10 seconds, is it toast",10000113,,hardware_damage,True
10000229,AppleSupport,False,Fri Mar 15 07:29:00 +0000 2024,"Sorry about that, — try restarting your MacBook Pro and checking for a smaller update under Settings > General > Software Update. Let us know if the lag continues.",,10000228,software_bug,True
10000256,cust_128,True,Sun Mar 17 00:05:00 +0000 2024,keyboard lagging so bad after ios update i can barely type this tweet,10000257,,software_bug,True
10000264,cust_132,True,Sun Mar 17 12:51:00 +0000 2024,can i change the shipping address on order W920951719 it already shipped to the wrong place,10000265,,order_shipping,True
10000191,AppleSupport,False,Tue Mar 12 22:15:00 +0000 2024,"Sorry about the double charge, there. Please go to reportaproblem.apple.com, find the purchase, and select 'Report a Problem' — refunds are usually processed within 48 hours.",,10000190,warranty_billing,True
10000261,AppleSupport,False,Sun Mar 17 07:08:00 +0000 2024,"Once an order ships we usually can't redirect it, there, but DM us the order number and we'll see what options the carrier allows.",,10000260,order_shipping,True
10000140,cust_70,True,Sat Mar 09 18:40:00 +0000 2024,"dropped my MacBook Pro and now theres a huge crack across the whole screen, how much to fix",10000141,,hardware_damage,True
